page_id,topic,page_title,author_contributors,source_url,license,date_accessed
cell_membrane_01,Cell Membranes,7.4: The Cell Membrane,OpenStax,https://bio.libretexts.org/Courses/Cuyahoga_Community_College/Bio_1110%3A_Biological_Fundamentals/07%3A_Cell_Structure_and_Function/7.04%3A_The_Cell_Membrane,CC BY 4.0,2026-07-19
passive_transport_01,Passive Transport,5.2: Passive Transport,OpenStax,https://bio.libretexts.org/Bookshelves/Introductory_and_General_Biology/General_Biology_1e_(OpenStax)/2%3A_The_Cell/5%3A_Structure_and_Function_of_Plasma_Membranes/5.2%3A_Passive_Transport,CC BY 4.0,2026-07-26
